response_id,session_id,learning_objective_id,learning_objective
tbgxwke,pvbrtfn,yovdkeb,Counting in multiples.
hyrbsdh,ugvvmoa,ojolhpj,Comparing fractions using reasoning.
mjsewph,kavdvea,pooqxzw,Counting in multiples.
ymkazwe,cvycued,hmvosvx,Multiplying and dividing whole numbers and decimals by 10 and 100.
yukyore,cpewabh,oofsqml,Comparing fractions using reasoning.
cnizctp,ysyxlsg,gmxpznw,Using place value to order and compare numbers.
wzwjsem,ekwbvoj,ymtgqot,Using place value to order and compare numbers.
ggodokf,ldywxjq,msbrtma,Comparing fractions using reasoning.
otpcoqr,ldvkrio,ymtgqot,Using place value to order and compare numbers.
lcdiqtr,fsohnxk,llccmtv,Using place value to order and compare numbers.
ilbujnl,goeyxik,jnaeyqb,Comparing and ordering fractions by finding a common denominator.
heydycc,onryfff,wskitab,Knowing the value of each digit in numbers with up to 2 decimal places.
xyxumcp,gukoudm,tdzcbyf,Using place value to order and compare numbers.
ntacpwy,xzcjtvd,qrrxuhe,Finding fractions of an amount.
ojmnqfk,jdawlox,suokxjq,Adding and subtracting fractions with different denominators.
owutfko,xdqvngq,njsljpo,Using place value to order and compare numbers.
zjxtqsu,asaozun,lsewfcv,Finding fractions of an amount.
srjlpvq,voeakpv,ggbvvkw,Counting in multiples.
zrkoqwg,ulxxymh,suokxjq,Adding and subtracting fractions with different denominators.
gfbrzpb,pahqetc,msbrtma,Comparing fractions using reasoning.
jxbplxn,irglpgz,tdzcbyf,Using place value to order and compare numbers.
osvnsun,ecthtnz,msbrtma,Comparing fractions using reasoning.
sjjargv,lbxuioj,jnaeyqb,Comparing and ordering fractions by finding a common denominator.
ywhqtnn,xfycraf,llccmtv,Using place value to order and compare numbers.
liozfbb,iyglrhg,jnaeyqb,Comparing and ordering fractions by finding a common denominator.
phlybef,cdynmrq,hmjgvts,Adding and subtracting fractions with different denominators.
lseccua,lwngcjr,ntatckj,Adding and subtracting fractions with different denominators.
qpcohnd,wjcyzmq,yovdkeb,Counting in multiples.
ruanqas,rzibbdh,cqjxopt,Comparing and ordering fractions by finding a common denominator.
ohmrqua,chzzmyn,gouufve,Using place value to order and compare numbers.
uaqjbro,puqlwmy,qrrxuhe,Finding fractions of an amount.
rjhqfvr,qvusijc,njsljpo,Using place value to order and compare numbers.
zapowly,ttvmxel,ntatckj,Adding and subtracting fractions with different denominators.
gwnyfgo,oqrfbke,uynnzcm,"Rounding numbers to the nearest 100 and 1,000."
odqkdns,squpbvf,oulckzh,"Rounding numbers to the nearest 100 and 1,000."
axpgtvy,ouyiwwz,tdzcbyf,Using place value to order and compare numbers.
ufefwhi,jbjgjfd,mgcripj,"Rounding numbers to the nearest 100 and 1,000."
xfkhhpt,cysqlsf,xilputy,Comparing fractions using reasoning.
gaqorlu,uiicxfg,jdswzgl,Knowing the value of each digit in numbers with up to 2 decimal places.
qttmipq,xvseemr,xvibdui,Adding and subtracting fractions with different denominators.
onidlws,cpqzwwq,njsljpo,Using place value to order and compare numbers.
ttxfsbg,iljdzao,gwqoozf,Comparing and ordering fractions by finding a common denominator.
aldkdam,dpsnwzx,cimheim,Multiplying and dividing whole numbers and decimals by 10 and 100.
kkikamw,hfbineh,hhxmdhg,"Rounding numbers to the nearest 100 and 1,000."
ddungui,cupmfdm,eihtnfe,Adding and subtracting fractions with different denominators.
poetqft,geessqw,koviexo,Comparing fractions using reasoning.
qwviyai,bcyqxss,hhxmdhg,"Rounding numbers to the nearest 100 and 1,000."
pnffuwr,cnwqtld,njsljpo,Using place value to order and compare numbers.
nugzdpi,wvmukrq,nqqwnsx,Comparing and ordering fractions by finding a common denominator.
xgqeeku,ognlpue,xilputy,Comparing fractions using reasoning.
hsozhgx,smviohp,znjjgdx,Comparing fractions using reasoning.
ifvvbwq,kedcyev,ckdyfkt,Knowing the value of each digit in numbers with up to 2 decimal places.
hngedep,mgtntae,hhxmdhg,"Rounding numbers to the nearest 100 and 1,000."
vmaltvt,pbcksux,hmvosvx,Multiplying and dividing whole numbers and decimals by 10 and 100.
jqbknaa,dcwrexc,bnwoavr,Knowing the value of each digit in numbers with up to 2 decimal places.
ufdphzy,cbmqgtk,aqjhubg,Knowing the value of each digit in numbers with up to 2 decimal places.
vhwggzr,teykjoe,xilputy,Comparing fractions using reasoning.
cxerlau,nrzvlwy,lsewfcv,Finding fractions of an amount.
rwptxzo,uopbqld,ckdyfkt,Knowing the value of each digit in numbers with up to 2 decimal places.
aiqcdkx,pbsjtow,ozjhnxs,Multiplying and dividing whole numbers and decimals by 10 and 100.
iyuhgvt,qrsosov,gwqoozf,Comparing and ordering fractions by finding a common denominator.
qzckpbz,qbqtasd,egiflvt,Knowing the value of each digit in numbers with up to 2 decimal places.
oigapza,ihjhlbh,ckdyfkt,Knowing the value of each digit in numbers with up to 2 decimal places.
krlqszp,acgbjat,nmlfckc,Counting in multiples.
shdccvb,xcwkneq,cqjxopt,Comparing and ordering fractions by finding a common denominator.
mprbwla,ckvnmgo,ggbvvkw,Counting in multiples.
dwytiyh,nfxvhdg,tdzcbyf,Using place value to order and compare numbers.
gtinrey,ivwjcpq,ymtgqot,Using place value to order and compare numbers.
ezhkgoa,gmwlciu,uynnzcm,"Rounding numbers to the nearest 100 and 1,000."
enszvxu,bilkxxs,xilputy,Comparing fractions using reasoning.
uixzndb,tyxcqsp,qzxykqe,Counting in multiples.
mqoxnrt,ysyxlsg,cgfsxji,Using place value to order and compare numbers.
xpocqej,cjcbjfo,ymtgqot,Using place value to order and compare numbers.
ncshnjj,czyinor,slxnxgu,"Rounding numbers to the nearest 100 and 1,000."
kbfudmd,ioucphf,eihtnfe,Adding and subtracting fractions with different denominators.
oqmugoh,nvxwyso,ymtgqot,Using place value to order and compare numbers.
nbgsuhg,yxldfhv,aqjhubg,Knowing the value of each digit in numbers with up to 2 decimal places.
hhzqkmn,slgtzgu,yovdkeb,Counting in multiples.
okzhlam,iphqodm,hiwcygw,Multiplying and dividing whole numbers and decimals by 10 and 100.
wzmdsqy,rtidhux,eihtnfe,Adding and subtracting fractions with different denominators.
naxrudl,fdwrplk,njsljpo,Using place value to order and compare numbers.
lgwebgz,wjmuefu,ukowvdj,Comparing and ordering fractions by finding a common denominator.
cpekoag,ohyiwec,mgcripj,"Rounding numbers to the nearest 100 and 1,000."
pampfem,teltpfv,gouufve,Using place value to order and compare numbers.
saiziit,hzvfjnr,kioiqmy,Comparing and ordering fractions by finding a common denominator.
mkuasjx,woufutx,tsowzvj,Comparing fractions using reasoning.
sydexkv,mwavqpr,rggwmtp,Comparing and ordering fractions by finding a common denominator.
rmbbsca,zsafkfd,yovdkeb,Counting in multiples.
fxqsqog,ncdpnhb,slxnxgu,"Rounding numbers to the nearest 100 and 1,000."
lozxtvu,dykplic,gwqoozf,Comparing and ordering fractions by finding a common denominator.
rvbalbi,yowfhzz,lsewfcv,Finding fractions of an amount.
fyrbqti,curipes,ykuuptr,"Rounding numbers to the nearest 100 and 1,000."
wzzclul,lbubigu,xvibdui,Adding and subtracting fractions with different denominators.
miksaus,bophbzs,oulckzh,"Rounding numbers to the nearest 100 and 1,000."
dunilnf,izuizmn,hiwcygw,Multiplying and dividing whole numbers and decimals by 10 and 100.
pqjlqnl,ilgozpf,mgcripj,"Rounding numbers to the nearest 100 and 1,000."
ywjsvcp,hepqxjg,llccmtv,Using place value to order and compare numbers.
ubiuyzp,mbdzvvq,tdzcbyf,Using place value to order and compare numbers.
bavtfdd,lwbjasw,ykuuptr,"Rounding numbers to the nearest 100 and 1,000."
wtycsyn,iidxhpg,nqqwnsx,Comparing and ordering fractions by finding a common denominator.
upalgcp,jaipaqq,koviexo,Comparing fractions using reasoning.
ybiride,ggtayuj,hmjgvts,Adding and subtracting fractions with different denominators.
azmyrjy,wtqmkae,uynnzcm,"Rounding numbers to the nearest 100 and 1,000."
geuokpz,zbehwdm,hllhxxb,Finding fractions of an amount.
hxxtecd,iowjhbx,vibpixk,Using place value to order and compare numbers.
skzajgw,ufeoqsi,nmlfckc,Counting in multiples.
dkwzxqe,rwpbivb,mgcripj,"Rounding numbers to the nearest 100 and 1,000."
ckmnbrk,lrifbsa,haztyul,Comparing and ordering fractions by finding a common denominator.
cxjgmyv,zenkldi,slxnxgu,"Rounding numbers to the nearest 100 and 1,000."
crrxztr,jhvkqac,ykuuptr,"Rounding numbers to the nearest 100 and 1,000."
jxyzyqy,ylbtlbd,vibpixk,Using place value to order and compare numbers.
ugazlwh,mqqawqz,hmjgvts,Adding and subtracting fractions with different denominators.
jvnripm,oumgnsr,cgfsxji,Using place value to order and compare numbers.
ymctywc,zwmgatx,cimheim,Multiplying and dividing whole numbers and decimals by 10 and 100.
zjvqzip,mygwmng,ozjhnxs,Multiplying and dividing whole numbers and decimals by 10 and 100.
reudvde,aogweqn,ntatckj,Adding and subtracting fractions with different denominators.
mebbhmb,sdigpuc,suokxjq,Adding and subtracting fractions with different denominators.
dpitvay,nlnhyjw,ckdyfkt,Knowing the value of each digit in numbers with up to 2 decimal places.
rvmaxoa,hzllryd,hpzsirz,Adding and subtracting fractions with different denominators.
efjllwy,hffmcvn,hllhxxb,Finding fractions of an amount.
rqwgoqh,zcttibi,kioiqmy,Comparing and ordering fractions by finding a common denominator.
ygbivjf,nhnsszp,eihtnfe,Adding and subtracting fractions with different denominators.
wdexial,ofxqerk,tdzcbyf,Using place value to order and compare numbers.
ttchqrq,dfftxwy,uynnzcm,"Rounding numbers to the nearest 100 and 1,000."
iwcvyrl,uxuvcjt,koviexo,Comparing fractions using reasoning.
jlefqom,mmgfajz,vjiconv,Adding and subtracting fractions with different denominators.
mcwygiq,ozqvwpp,yovdkeb,Counting in multiples.
acxepwt,xyihnfw,ymtgqot,Using place value to order and compare numbers.
hdskzqa,ieeebvb,tdzcbyf,Using place value to order and compare numbers.
gtstggf,ynwihhn,xvibdui,Adding and subtracting fractions with different denominators.
savhmgl,pxqwerl,hojyzro,Adding and subtracting tens to a 2-digit number.
tfobero,znkvqrr,hmvosvx,Multiplying and dividing whole numbers and decimals by 10 and 100.
pffldxg,azphzey,haztyul,Comparing and ordering fractions by finding a common denominator.
seqfhkd,lfafsuh,kioiqmy,Comparing and ordering fractions by finding a common denominator.
dtioqqq,xfhhmma,rggwmtp,Comparing and ordering fractions by finding a common denominator.
zqjhuko,yrlwute,hhxmdhg,"Rounding numbers to the nearest 100 and 1,000."
vgfbbqn,ydfxkbd,haztyul,Comparing and ordering fractions by finding a common denominator.
hfscsxl,wlgtdku,kioiqmy,Comparing and ordering fractions by finding a common denominator.
mncqjma,ifhclkk,cimheim,Multiplying and dividing whole numbers and decimals by 10 and 100.
wibuzna,qqqnrna,bnwoavr,Knowing the value of each digit in numbers with up to 2 decimal places.
zfgsicr,icczgeb,rggwmtp,Comparing and ordering fractions by finding a common denominator.
gwexsgp,itwsxcr,eihtnfe,Adding and subtracting fractions with different denominators.
ybvlyfs,nxjmbeu,ojolhpj,Comparing fractions using reasoning.
zickpqm,nltwxli,ntatckj,Adding and subtracting fractions with different denominators.
ypqyyih,fvthtsc,eihtnfe,Adding and subtracting fractions with different denominators.
tnlsrxj,hkokehk,ntatckj,Adding and subtracting fractions with different denominators.
tfyctcw,xyppjpp,cimheim,Multiplying and dividing whole numbers and decimals by 10 and 100.
yvumgzn,lkeeeul,ymtgqot,Using place value to order and compare numbers.
vssjllp,zuqswdg,nmlfckc,Counting in multiples.
sffbnrf,qubjgqv,gmxpznw,Using place value to order and compare numbers.
sawrrsj,wamovfh,ntatckj,Adding and subtracting fractions with different denominators.
ztextiy,ubthela,znjjgdx,Comparing fractions using reasoning.
gqrzozh,mdtmerz,bnwoavr,Knowing the value of each digit in numbers with up to 2 decimal places.
ugztqbm,fpwjmpv,hmvosvx,Multiplying and dividing whole numbers and decimals by 10 and 100.
dxjvxct,dvhtxmc,xilputy,Comparing fractions using reasoning.
hcgowrg,ggxxccw,hmjgvts,Adding and subtracting fractions with different denominators.
hhtnabb,masfsof,cqjxopt,Comparing and ordering fractions by finding a common denominator.
ynmteah,knshfsy,msbrtma,Comparing fractions using reasoning.
fuvqxmg,vccsvkq,yovdkeb,Counting in multiples.
idxpuhs,mcxcrxr,haztyul,Comparing and ordering fractions by finding a common denominator.
ilqzosp,lomfvtr,lsewfcv,Finding fractions of an amount.
lyyixlt,pdqfonu,eihtnfe,Adding and subtracting fractions with different denominators.
ntwlsnu,pacvhdr,rggwmtp,Comparing and ordering fractions by finding a common denominator.
espljsj,uyusjcn,wskitab,Knowing the value of each digit in numbers with up to 2 decimal places.
aylefvi,ildyyop,yovdkeb,Counting in multiples.
hmaobvl,qcxdeby,qrrxuhe,Finding fractions of an amount.
fleidrz,mhzzifn,lsewfcv,Finding fractions of an amount.
mcbvjhc,ehpdldo,hojyzro,Adding and subtracting tens to a 2-digit number.
rbxfbsj,qqbpyuf,ukowvdj,Comparing and ordering fractions by finding a common denominator.
sbwityn,rnctfxu,egiflvt,Knowing the value of each digit in numbers with up to 2 decimal places.
iiradqa,kgstebb,tsowzvj,Comparing fractions using reasoning.
hqgyzae,cqaqjvq,ozjhnxs,Multiplying and dividing whole numbers and decimals by 10 and 100.
xamypha,djhbtay,yovdkeb,Counting in multiples.
kocnkiz,xnhnevs,hxuqbuo,Comparing fractions using reasoning.
xspmbha,bomodyg,njsljpo,Using place value to order and compare numbers.
jmpjgsd,jzfgzfv,gmxpznw,Using place value to order and compare numbers.
dspwtxr,leohhcn,ggbvvkw,Counting in multiples.
venyuky,bqqouxo,hpzsirz,Adding and subtracting fractions with different denominators.
iaukafb,afzzjus,wskitab,Knowing the value of each digit in numbers with up to 2 decimal places.
zwyeuoh,lxxtxpw,rggwmtp,Comparing and ordering fractions by finding a common denominator.
rylavee,iwhhird,cqjxopt,Comparing and ordering fractions by finding a common denominator.
quuwwdh,sqrjxbc,pooqxzw,Counting in multiples.
sksllap,ieeebvb,slxnxgu,"Rounding numbers to the nearest 100 and 1,000."
wvirfqk,mexhedj,aqjhubg,Knowing the value of each digit in numbers with up to 2 decimal places.
ysbwsfh,ueenwsr,ckdyfkt,Knowing the value of each digit in numbers with up to 2 decimal places.
eiyxojj,nrfdwhi,gmxpznw,Using place value to order and compare numbers.
yftzwsx,yrtllkt,cgfsxji,Using place value to order and compare numbers.
fzcafpg,ckdgrvs,negieyf,"Rounding numbers to the nearest 100 and 1,000."
qcsfndz,hfznyon,jnaeyqb,Comparing and ordering fractions by finding a common denominator.
jpmplbv,mdyfjlg,ckdyfkt,Knowing the value of each digit in numbers with up to 2 decimal places.
qgcxixt,tisuggb,wltzydm,Finding fractions of an amount.
yreaglq,rrdrfto,dbuhjvm,Comparing fractions using reasoning.
xdqcmbj,bpegwwv,wltzydm,Finding fractions of an amount.
ptungxy,bqdcslp,wskitab,Knowing the value of each digit in numbers with up to 2 decimal places.
zuucokg,amtneuj,llccmtv,Using place value to order and compare numbers.
bfxxtcr,fbalitu,tdzcbyf,Using place value to order and compare numbers.
drahdyo,ldbfdux,ymtgqot,Using place value to order and compare numbers.
xatmmwb,kbkmknu,bnwoavr,Knowing the value of each digit in numbers with up to 2 decimal places.
yajdnpq,hyqpikq,dbuhjvm,Comparing fractions using reasoning.
utyleeh,vnbwtgz,gouufve,Using place value to order and compare numbers.
pbyzeup,oltgtfj,gmxpznw,Using place value to order and compare numbers.
mtoiodg,ppjrjqf,tdzcbyf,Using place value to order and compare numbers.
zephmgo,lnbgahy,egiflvt,Knowing the value of each digit in numbers with up to 2 decimal places.
oqipsso,ugmgkcy,znjjgdx,Comparing fractions using reasoning.
hnnyjit,lgfjods,ozjhnxs,Multiplying and dividing whole numbers and decimals by 10 and 100.
qlastyn,lrdonuz,hiwcygw,Multiplying and dividing whole numbers and decimals by 10 and 100.
nflansu,uemdrmi,ymtgqot,Using place value to order and compare numbers.
rurulpq,uuqynap,yovdkeb,Counting in multiples.
oouginq,dwmxron,nmlfckc,Counting in multiples.
nfvolwl,qqrinyp,nmlfckc,Counting in multiples.
ezjxngj,bbgxftl,nmlfckc,Counting in multiples.
xydzwqe,azorvqp,ckdyfkt,Knowing the value of each digit in numbers with up to 2 decimal places.
pldzpci,zwlfexi,rggwmtp,Comparing and ordering fractions by finding a common denominator.
vlmdczy,esbcseu,vjiconv,Adding and subtracting fractions with different denominators.
corwowd,nslkuuf,hllhxxb,Finding fractions of an amount.
amgtikn,ziionjj,uynnzcm,"Rounding numbers to the nearest 100 and 1,000."
ybokavx,naooznx,uynnzcm,"Rounding numbers to the nearest 100 and 1,000."
etsslib,jmdkjyl,lsewfcv,Finding fractions of an amount.
aendrqi,fvthtsc,slxnxgu,"Rounding numbers to the nearest 100 and 1,000."
cnvkuhc,lyjeadl,xilputy,Comparing fractions using reasoning.
qxwycbo,ppteupk,cqjxopt,Comparing and ordering fractions by finding a common denominator.
yzhjrxe,djvlrta,dbuhjvm,Comparing fractions using reasoning.
zvbvqzf,fkilxtu,hllhxxb,Finding fractions of an amount.
zbblreh,nulvsfx,qrrxuhe,Finding fractions of an amount.
kdedyyq,ldywxjq,ntatckj,Adding and subtracting fractions with different denominators.
rdbjzmv,msyoupx,negieyf,"Rounding numbers to the nearest 100 and 1,000."
jivmtss,zardqqc,bnwoavr,Knowing the value of each digit in numbers with up to 2 decimal places.
rvmhnib,swmqpzg,msbrtma,Comparing fractions using reasoning.
jnnishq,nfbkujj,egiflvt,Knowing the value of each digit in numbers with up to 2 decimal places.
hzqoltl,vcbkyrc,ckdyfkt,Knowing the value of each digit in numbers with up to 2 decimal places.
uevzgfy,ampibdy,xilputy,Comparing fractions using reasoning.
kselsxl,zejiikn,mgcripj,"Rounding numbers to the nearest 100 and 1,000."
bkqwvte,stmsojp,hxuqbuo,Comparing fractions using reasoning.
nomxyfy,ykphxxf,pmzbgwu,Knowing the value of each digit in numbers with up to 2 decimal places.
wsjtpxs,laqhipy,uynnzcm,"Rounding numbers to the nearest 100 and 1,000."
zkcmzrs,qubjgqv,eihtnfe,Adding and subtracting fractions with different denominators.
